generation,mean_fitness
0,90.8
1,115.4
2,125.4
3,153.2
4,174.6
5,199.4
6,204.8
7,248.4
8,255.6
9,276.0
10,284.8
11,299.0
12,305.2
13,319.2
14,354.8
15,362.2
16,380.4
17,396.2
18,417.8
19,424.4
20,435.2
21,442.8
22,481.0
23,492.2
24,498.8
25,527.4
26,546.4
27,559.2
28,583.8
29,608.6
30,615.0
31,617.4
32,618.8
33,640.2
34,653.0
35,659.2
36,702.8
37,733.2
38,760.2
39,765.2
40,809.4
41,830.0
42,846.6
43,879.8
44,896.6
45,916.0
46,916.0
47,926.0
48,934.2
49,935.8
50,948.8
51,951.0
52,962.2
53,969.6
54,1010.0
55,1031.2
56,1034.8
57,1051.2
58,1051.6
59,1056.2
60,1062.2
61,1081.4
62,1083.6
63,1083.6
64,1097.4
65,1102.0
66,1104.6
67,1127.2
68,1135.2
69,1136.8
70,1136.8
71,1137.2
72,1137.2
73,1137.2
74,1154.4
75,1161.4
76,1212.6
77,1224.4
78,1244.8
79,1244.8
80,1244.8
81,1253.2
82,1253.6
83,1260.0
84,1260.0
85,1269.4
86,1269.4
87,1269.4
88,1269.4
89,1269.6
90,1269.6
91,1273.2
92,1288.2
93,1293.8
94,1309.8
95,1330.6
96,1334.0
97,1334.0
98,1344.6
99,1358.8
100,1358.8
101,1358.8
102,1358.8
103,1370.4
104,1370.4
105,1371.0
106,1381.2
107,1388.4
108,1435.2
109,1435.2
110,1435.2
111,1435.2
112,1435.2
113,1435.2
114,1500.0
115,1500.4
116,1534.8
117,1535.2
118,1547.4
119,1554.4
120,1605.2
121,1610.6
122,1645.8
123,1646.0
124,1653.2
125,1653.2
126,1656.2
127,1657.6
128,1657.6
129,1657.6
130,1657.6
131,1672.2
132,1695.6
133,1695.6
134,1699.4
135,1701.2
136,1701.8
137,1701.8
138,1701.8
139,1704.6
140,1704.6
141,1704.6
142,1704.6
143,1712.8
144,1712.8
145,1712.8
146,1712.8
147,1712.8
148,1723.4
149,1744.4
150,1745.0
151,1770.0
152,1771.2
153,1785.0
154,1794.0
155,1794.0
156,1794.0
157,1794.0
158,1794.0
159,1807.2
160,1812.2
161,1822.2
162,1822.2
163,1859.8
164,1859.8
165,1859.8
166,1861.2
167,1861.2
168,1861.6
169,1861.6
170,1861.6
171,1880.0
172,1880.0
173,1880.0
174,1881.4
175,1881.4
176,1894.2
177,1894.2
178,1894.2
179,1894.2
180,1895.8
181,1895.8
182,1895.8
183,1897.6
184,1897.6
185,1897.6
186,1897.6
187,1897.6
188,1897.6
189,1897.6
190,1897.6
191,1897.6
192,1897.6
193,1916.0
194,1916.0
195,1918.2
196,1918.2
197,1919.8
198,1919.8
199,1919.8
200,1919.8
201,1921.6
202,1921.6
203,1921.6
204,1926.4
205,1926.4
206,1926.6
207,1926.6
208,1926.6
209,1926.6
210,1926.6
211,1926.6
212,1926.6
213,1935.8
214,1954.6
215,1954.6
216,1954.6
217,1960.6
218,1960.6
219,1968.8
220,1968.8
221,1968.8
222,1969.2
223,1969.2
224,1969.2
225,1969.2
226,1970.4
227,1970.4
228,1970.4
229,1970.4
230,1970.4
231,1970.4
232,1971.8
233,1972.4
234,1972.4
235,1972.4
236,1973.0
237,1973.0
238,1991.4
239,1992.6
240,1992.6
241,1992.6
242,1992.6
243,1992.6
244,1992.6
245,1993.8
246,1993.8
247,1993.8
248,1993.8
249,1993.8
250,1993.8
251,1993.8
252,1995.2
253,1995.2
254,1995.2
255,1995.2
256,1995.2
257,1995.2
258,1995.2
259,1995.2
260,1995.2
261,1995.2
262,1995.2
263,1995.2
264,1995.2
265,1995.2
266,1995.2
267,1995.2
268,1996.8
269,1996.8
270,1996.8
271,1998.8
272,1998.8
273,2011.2
274,2011.2
275,2011.2
276,2011.2
277,2011.2
278,2011.2
279,2026.0
280,2026.0
281,2026.0
282,2026.0
283,2027.0
284,2027.0
285,2027.0
286,2027.0
287,2058.4
288,2058.4
289,2058.4
290,2058.4
291,2059.2
292,2059.2
293,2059.2
294,2059.2
295,2069.0
296,2069.0
297,2069.0
298,2069.0
299,2069.0
300,2069.0
301,2069.0
302,2069.0
303,2069.0
304,2069.2
305,2069.2
306,2069.2
307,2069.2
308,2097.4
309,2097.4
310,2097.6
311,2117.8
312,2117.8
313,2117.8
314,2117.8
315,2117.8
316,2117.8
317,2117.8
318,2117.8
319,2117.8
320,2117.8
321,2118.4
322,2118.4
323,2118.4
324,2125.2
325,2125.2
326,2126.0
327,2126.0
328,2126.0
329,2126.0
330,2126.0
331,2126.0
332,2126.0
333,2126.0
334,2126.0
335,2126.0
336,2126.0
337,2126.0
338,2127.0
339,2127.0
340,2137.8
341,2138.8
342,2138.8
343,2147.4
344,2147.4
345,2148.0
346,2148.0
347,2148.0
348,2148.0
349,2148.0
350,2148.0
351,2148.0
352,2148.0
353,2148.0
354,2148.0
355,2148.0
356,2148.0
357,2179.2
358,2179.2
359,2179.2
360,2179.2
361,2179.2
362,2179.2
363,2179.2
364,2179.2
365,2179.2
366,2179.2
367,2179.2
368,2179.2
369,2179.2
370,2179.8
371,2179.8
372,2179.8
373,2179.8
374,2179.8
375,2179.8
376,2179.8
377,2179.8
378,2179.8
379,2179.8
380,2180.8
381,2180.8
382,2180.8
383,2180.8
384,2180.8
385,2183.8
386,2183.8
387,2183.8
388,2192.2
389,2192.4
390,2192.4
391,2192.6
392,2192.6
393,2192.6
394,2192.6
395,2195.0
396,2195.0
397,2195.0
398,2195.0
399,2195.6
400,2196.0
401,2196.0
402,2196.0
403,2196.0
404,2200.2
405,2200.2
406,2200.2
407,2200.6
408,2200.6
409,2200.8
410,2201.2
411,2201.2
412,2201.2
413,2201.2
414,2202.0
415,2202.0
416,2202.8
417,2202.8
418,2202.8
419,2202.8
420,2208.4
421,2208.4
422,2209.6
423,2209.6
424,2209.6
425,2209.6
426,2210.2
427,2210.2
428,2210.2
429,2210.8
430,2210.8
431,2210.8
432,2210.8
433,2210.8
434,2210.8
435,2211.2
436,2211.2
437,2211.2
438,2211.2
439,2211.2
440,2211.2
441,2211.8
442,2211.8
443,2211.8
444,2211.8
445,2213.0
446,2213.0
447,2213.0
448,2213.0
449,2213.0
450,2213.0
451,2213.0
452,2213.0
453,2213.0
454,2213.0
455,2213.0
456,2213.0
457,2213.0
458,2213.6
459,2213.6
460,2245.0
461,2245.0
462,2245.0
463,2245.0
464,2245.0
465,2245.0
466,2245.0
467,2245.0
468,2245.0
469,2245.0
470,2245.0
471,2245.0
472,2245.0
473,2245.0
474,2245.0
475,2247.8
476,2247.8
477,2247.8
478,2247.8
479,2247.8
480,2247.8
481,2247.8
482,2247.8
483,2247.8
484,2249.4
485,2249.4
486,2249.4
487,2249.4
488,2249.4
489,2249.4
490,2249.4
491,2249.4
492,2249.4
493,2249.4
494,2249.4
495,2249.4
496,2249.4
497,2249.4
498,2249.4
499,2249.4
